scenario,dataset,model,family,reference,reference_url,input_format,framework_reference,train_protocol,expected_accuracy,threshold_accuracy,csrr_config,status,notes
AMC,RadioML2016.10A,MLDNN,multi-branch RNN,"CSRR historical run; FastMLDNN paper family",https://ieeexplore.ieee.org/document/10239249,IQ+AP,"PyTorch/MMEngine current repo",Adam lr=4e-4; 400 epochs; train_and_validation/test split,0.6297,0.61,configs/mldnn/mldnn_iq-ap-deepsig201610A.py,passed_historical,"Existing checkpoint best accuracy around 62.97; this is the first baseline gate."
AMC,RadioML2016.10A,MCLDNN,spatiotemporal multi-channel,"AMR-Benchmark / original MCLDNN",https://github.com/Richardzhangxx/AMR-Benchmark,IQ,"Keras reference vs PyTorch port",match AMR-Benchmark after framework parity audit,,,configs/mcldnn/mcldnn_iq-deepsig-201610A.py,needs_parity,"The stopped 10-epoch run is invalid diagnostic evidence only."
AMC,RadioML2016.10A,CGDNet,hybrid CNN-GRU,AMR-Benchmark,https://github.com/Richardzhangxx/AMR-Benchmark,IQ,"Keras reference vs PyTorch port",match AMR-Benchmark protocol,,,configs/cgdnet/cgdnet_iq-deepsig-201610A.py,needs_parity,
AMC,RadioML2016.10A,PETCGDNN,parameter-estimation transform,AMR-Benchmark,https://github.com/Richardzhangxx/AMR-Benchmark,IQ shape L-F,"Keras reference vs PyTorch port",match AMR-Benchmark protocol,,,configs/petcgdnn/petcgdnn_iq-shape-L-F-deepsig-201610A.py,needs_parity,
AMC,RadioML2016.10A,FastMLDNN,fast multi-loss,CSRR paper configs,https://ieeexplore.ieee.org/document/10239249,IQ+AP,"PyTorch/MMEngine current repo",stage1/stage2 per repo configs,,,configs/fastmldnn/fastmldnn_iq-ap-deepsig-201610A.py,needs_parity,
AMC,RadioML2016.10A,MCformer,attention/transformer,CSRR maintained config,,IQ,"PyTorch/MMEngine current repo",repo config baseline,,,configs/mcformer/mcformer_iq-deepsig-201610A.py,needs_parity,
Vision,CIFAR-10-C,ResNet18,CNN,TorchVision references,https://github.com/pytorch/vision/tree/main/references/classification,RGB,"PyTorch TorchVision",standard CIFAR training before corruption eval,,,tools/rcps/vision_runner.py,planned,
Vision,CIFAR-10-C,WideResNet,CNN robust baseline,RobustBench,https://github.com/RobustBench/robustbench,RGB,"PyTorch RobustBench",match public clean/corruption baseline,,,tools/rcps/vision_runner.py,planned,
Audio,Speech Commands v0.02,DS-CNN,audio CNN,TensorFlow Speech Commands,https://tensorflow.google.cn/datasets/catalog/speech_commands,log-mel,"TensorFlow/torchaudio reference",match official split and keyword set,,,tools/rcps/audio_runner.py,planned,
Audio,Speech Commands v0.02,log-mel ResNet,audio CNN,torchaudio examples,https://pytorch.org/audio/stable/tutorials/speech_command_classification_with_torchaudio_tutorial.html,log-mel,"PyTorch torchaudio",match official split and keyword set,,,tools/rcps/audio_runner.py,planned,
