cell,paper_value,paper_sd,paper_n_seeds,originally_reported,source,note
bu_tiny_uniform,0.432,0.004,3,0.431,Table I (Axis B) uniform column,RTMDet-tiny STFT3 uniform recipe AdamW 5e-4 batch 8 seeds 7/17/27
bu_s_uniform,0.443,0.021,3,0.449,Table I (Axis B) uniform column,RTMDet-small
bu_m_uniform,0.472,0.012,3,0.460,Table I (Axis B) uniform column,RTMDet-medium
bu_l_uniform,0.451,0.007,3,0.462,Table I (Axis B) uniform column,RTMDet-large
bo_tiny_own,0.433,0.004,3,0.408,Table I (Axis B) own-schedule column,configuration's own gentler schedule (lr 1e-4 batch 4); originally reported from 2 seeds
bo_s_own,0.470,0.014,3,0.429,Table I (Axis B) own-schedule column,
bo_m_own,0.492,0.010,3,0.477,Table I (Axis B) own-schedule column,"batch-4 three-seed value; the originally reported 0.477 +- 0.039 pooled the batch-8 deployment run (0.521) with two batch-4 runs, so it is not pooled here"
bo_l_own,0.504,0.015,3,0.486,Table I (Axis B) own-schedule column,originally reported from 2 seeds
a_phaseout,0.441,0.023,3,0.455,Table III (Axis A) magnitude-only,frozen-Fourier logmag2ch
a_phasein,0.455,0.013,3,0.447,Table III (Axis A) phase + magnitude,frozen-Fourier realimag_logmag; originally reported from 2 seeds
a_realimag,0.431,,1,0.440,Table III (Axis A) phase only,frozen-Fourier realimag
a_stft3_offline,0.472,,3,,Table III (Axis A) STFT3 offline,precomputed real/imag/logmag; equals bu_m_uniform by construction; no originally reported value (cell added after the reproduction)
a_learnable,0.418,,1,0.412,Table III (Axis A) learnable filterbank,learned front end
e_ciq1d,0.053,,1,0.026,Table III (Axis A) complex-1D + FFT,Axis E collapse
f_fcos,0.470,0.005,3,0.374,Table II (Axis C),FCOS R50 batch 4 with the measured normalization statistics; the originally reported 0.374 is the single-seed identity-normalization run
f_atss,0.468,0.003,3,0.380,Table II (Axis C),ATSS R50 batch 4 with the measured normalization statistics; the originally reported 0.380 is the single-seed identity-normalization run
rtmdet_bs4_uniform,0.426,0.001,3,,Table II (Axis C),RTMDet-M uniform recipe at batch 4 (batch-matched family control); cell added after the reproduction
loc_singleclass,0.893,0.006,3,0.948,"Sections I, IV, VI-A",class-agnostic localization on the released hardshort_lowsnr benchmark; the originally reported 0.948 was measured on an easier generator configuration -- see REPRODUCTION.md
